Comunidade (Faculdade/Instituto),Handle Comunidade,Subcomunidade (Curso/PPG),Handle Subcomunidade,Coleção,Handle Coleção,UUID Coleção,TYPE,observação
INSTITUTO DE GEOGRAFIA,tede/9,Curso de Graduação em Geografia (bacharelado),123456789/11811,Trabalhos de Conclusão de Curso,123456789/12231,e0089e52,tccProcess,
INSTITUTO DE GEOGRAFIA,tede/9,Curso de Graduação em Geografia (licenciatura),123456789/11812,Trabalhos de Conclusão de Curso,123456789/12232,9e3c4625,tccProcess,
INSTITUTO DE HISTÓRIA E CIÊNCIAS SOCIAIS,tede/3,Curso de Graduação em Ciências Sociais (bacharelado),123456789/11816,Trabalhos de Conclusão de Curso,123456789/12219,933d9296,tccProcess,
INSTITUTO DE HISTÓRIA E CIÊNCIAS SOCIAIS,tede/3,Curso de Graduação em Ciências Sociais (licenciatura),123456789/11815,Trabalhos de Conclusão de Curso,123456789/12220,6a3a9304,tccProcess,
INSTITUTO DE HISTÓRIA E CIÊNCIAS SOCIAIS,tede/3,Curso de Graduação em História (bacharelado),123456789/11814,Trabalhos de Conclusão de Curso,123456789/12233,d7b68ee5,tccProcess,
INSTITUTO DE HISTÓRIA E CIÊNCIAS SOCIAIS,tede/3,Curso de Graduação em História (licenciatura),123456789/11813,Trabalhos de Conclusão de Curso,123456789/12234,2f5eaf3e,tccProcess,
INSTITUTO DE MATEMÁTICA E TECNOLOGIA,tede/4,Curso de Graduação em Engenharia Mecatrônica (bacharelado),123456789/11817,Trabalhos de Conclusão de Curso,123456789/12228,addd0b7a,tccProcess,
INSTITUTO DE MATEMÁTICA E TECNOLOGIA,tede/4,Curso de Graduação em Matemática (licenciatura),123456789/11818,Trabalhos de Conclusão de Curso,123456789/12220,53704406-5412-40b1-a5cd-160fdab3b86f,tccProcess,
INSTITUTO DE MATEMÁTICA E TECNOLOGIA,tede/4,Curso de Graduação em Matemática EaD (licenciatura),123456789/11820,Trabalhos de Conclusão de Curso,123456789/12238,99d866f5,tccProcess,
INSTITUTO DE MATEMÁTICA E TECNOLOGIA,tede/4,Curso de Graduação em Matemática Industrial (bacharelado),123456789/11819,Trabalhos de Conclusão de Curso,123456789/12223,718505c0-4229-4ee6-816d-f5278ac08ee4,tccProcess,
INSTITUTO DE QUÍMICA,tede/12,Curso de Graduação em Química (bacharelado),123456789/11821,Trabalhos de Conclusão de Curso,123456789/12243,46cd889c,tccProcess,
INSTITUTO DE QUÍMICA,tede/12,Curso de Graduação em Química (licenciatura),123456789/11822,Trabalhos de Conclusão de Curso,123456789/12245,dc7aa75a,tccProcess,
INSTITUTO DE QUÍMICA,tede/12,Curso de Graduação em Química Industrial (bacharelado),123456789/11823,Trabalhos de Conclusão de Curso,123456789/12244,3df2fab1,tccProcess,
